ID,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,dtir1,Status
1,cf,Male,yes,type3,Home,bad,11,Commercial,247830,13.98,0.85,3583,240,no,yes,no,592307,typeB,tenant,unsecured,6,190867,existing,787,new,68,offline,39.25,West,type2,18.88,1
2,cf,Male,no,type1,Car,good,14,Business,247871,10.45,0.76,16043,240,yes,no,yes,793471,typeB,owner,secured,5,86937,existing,432,existing,36,offline,43.93,West,type2,20.34,1
3,ncf,Female,yes,type2,Home,bad,13,Commercial,226242,13.4,1.5,11950,300,yes,no,no,624940,typeA,tenant,unsecured,1,199654,new,836,existing,53,online,48.98,West,type1,16.48,1
4,ncf,Female,yes,type2,Home,bad,7,Commercial,397751,12.69,0.11,1381,180,yes,yes,yes,860095,typeA,owner,unsecured,4,40865,existing,545,existing,31,online,20.05,South,type2,22.6,0
5,cf,Male,no,type3,Home,bad,6,Business,472844,9.84,1.36,17018,300,yes,no,yes,765580,typeA,owner,unsecured,2,96213,new,491,none,25,online,22.32,West,type1,17.36,1
6,ncf,Female,no,type1,Business,bad,8,Business,204497,8.56,0.28,16358,240,no,yes,yes,239592,typeB,tenant,unsecured,1,60195,new,551,existing,53,online,67.54,West,type1,25.68,1
7,ncf,Male,no,type2,Business,good,7,Business,187073,15.49,1.57,15555,300,yes,no,yes,893785,typeB,tenant,unsecured,1,131827,none,425,new,59,online,58.74,South,type1,22.06,1
8,cf,Female,yes,type3,Business,good,13,Business,257176,17.83,1.7,6918,180,no,no,no,484632,typeB,tenant,unsecured,2,129562,existing,569,none,34,offline,22.59,West,type1,34.5,1
9,cf,Female,no,type3,Business,bad,10,Business,118995,12.66,1.32,11425,240,yes,yes,yes,885877,typeB,tenant,secured,2,54509,existing,348,none,54,offline,21.4,West,type1,23.4,0
10,cf,Male,no,type2,Home,good,7,Commercial,185644,11.76,1.8,19651,300,yes,no,yes,695660,typeA,owner,secured,1,103253,new,713,existing,32,online,63.45,West,type1,20.79,1
11,cf,Female,no,type3,Car,bad,7,Business,120015,9.48,1.6,4001,300,no,no,yes,518780,typeA,tenant,secured,2,96970,none,654,existing,61,offline,39.16,South,type1,20.5,1
12,ncf,Male,no,type2,Home,bad,7,Commercial,336289,12.52,0.48,11334,300,no,no,yes,526616,typeA,owner,unsecured,3,162966,existing,633,existing,32,online,56.63,South,type1,35.44,1
13,ncf,Male,no,type2,Car,bad,2,Commercial,270879,19.63,0.99,11110,240,no,no,yes,885379,typeB,owner,secured,4,120284,existing,671,new,57,online,34.41,West,type1,34.82,1
14,cf,Male,yes,type3,Home,good,3,Business,129993,17.84,1.72,10460,240,yes,yes,yes,406276,typeA,tenant,secured,5,83758,none,460,none,26,offline,46.24,South,type2,16.76,0
15,ncf,Male,no,type3,Home,bad,12,Business,492429,14.56,0.57,11527,300,yes,yes,yes,618617,typeA,tenant,secured,1,87783,none,385,new,25,offline,70.91,West,type2,34.48,1
16,cf,Female,no,type2,Car,good,3,Business,494676,8.45,0.74,16319,300,no,no,yes,754223,typeB,owner,unsecured,5,85803,existing,316,none,56,offline,73.46,South,type2,14.47,1
17,cf,Male,yes,type3,Business,good,10,Business,360021,7.29,0.29,6874,180,yes,no,yes,301874,typeB,tenant,secured,4,131447,none,363,new,24,offline,20.91,West,type2,33.82,1
18,ncf,Male,no,type3,Car,good,7,Business,365610,16.34,0.81,14901,240,yes,no,yes,772460,typeB,tenant,unsecured,6,101167,none,707,new,36,offline,36.12,West,type1,15.76,1
19,ncf,Male,no,type1,Car,good,5,Business,115468,8.83,1.43,16381,180,no,yes,yes,477638,typeB,owner,secured,5,172537,existing,311,existing,65,offline,47.64,South,type1,14.13,1
20,cf,Female,no,type2,Home,bad,5,Business,453165,9.28,0.45,18867,300,yes,yes,no,814302,typeA,owner,unsecured,2,105729,none,661,none,34,offline,66.35,South,type1,21.83,0
21,ncf,Female,yes,type3,Business,bad,4,Commercial,337853,12.84,1.46,13123,240,yes,yes,yes,280567,typeA,owner,secured,6,146486,new,753,new,40,online,22.9,South,type2,15.38,0
22,ncf,Male,no,type3,Home,good,6,Business,138218,10.18,0.97,15037,180,no,yes,yes,769819,typeA,tenant,secured,5,107722,none,772,none,24,offline,33.78,South,type1,21.65,1
23,ncf,Male,no,type3,Home,good,7,Business,324459,9.48,1.84,13502,300,yes,no,no,413596,typeA,tenant,secured,1,47023,existing,467,existing,37,offline,70.0,South,type1,10.51,1
24,ncf,Female,no,type3,Business,bad,5,Commercial,389517,8.62,1.23,16621,300,yes,no,no,337348,typeB,tenant,unsecured,1,131399,new,323,new,64,online,66.85,West,type1,18.56,1
25,ncf,Female,no,type2,Business,bad,8,Business,292222,10.14,0.44,16108,180,yes,yes,yes,483470,typeB,owner,unsecured,1,64638,existing,540,existing,63,offline,51.0,South,type1,19.56,1
26,cf,Female,yes,type2,Car,good,8,Commercial,369728,11.38,1.01,15224,240,no,no,no,246132,typeA,tenant,secured,5,107038,new,364,existing,40,online,28.46,South,type1,19.25,1
27,ncf,Male,yes,type1,Business,bad,13,Business,357530,17.47,1.37,10294,180,no,yes,yes,769751,typeA,owner,secured,3,91816,none,427,new,20,online,68.1,South,type2,17.74,1
28,cf,Female,yes,type1,Home,bad,9,Commercial,152478,19.89,1.25,3400,180,yes,no,no,481528,typeA,tenant,unsecured,2,154599,existing,798,existing,20,offline,38.93,West,type2,23.56,1
29,ncf,Female,no,type1,Home,bad,5,Commercial,381817,11.05,0.4,8827,180,yes,yes,no,729098,typeA,tenant,unsecured,6,151794,none,675,none,60,offline,50.75,South,type1,17.08,0
30,cf,Female,yes,type1,Car,good,12,Business,291478,16.68,1.14,19438,300,no,no,no,868564,typeA,owner,unsecured,3,120961,existing,366,existing,67,offline,79.33,West,type2,30.62,1
31,cf,Male,no,type2,Business,good,10,Business,399852,15.42,1.36,1677,240,yes,no,no,608584,typeA,tenant,secured,3,181714,existing,440,existing,34,offline,33.67,South,type2,28.2,1
32,cf,Female,no,type2,Business,good,14,Commercial,362197,10.86,0.12,19618,300,no,no,yes,875026,typeA,owner,secured,6,113698,new,750,new,40,offline,45.97,West,type2,20.17,1
33,cf,Male,yes,type2,Car,bad,4,Business,490296,17.48,0.63,3964,180,no,yes,yes,424582,typeA,tenant,secured,4,128093,new,423,existing,34,online,45.26,West,type2,12.18,1
34,ncf,Female,yes,type3,Business,good,6,Commercial,178228,14.63,1.16,13564,300,yes,no,yes,417385,typeA,owner,secured,6,194356,new,723,new,55,online,42.38,West,type2,38.62,1
35,cf,Male,yes,type3,Home,good,11,Business,243211,13.81,1.33,16411,240,no,yes,yes,488661,typeA,owner,secured,1,156878,existing,345,new,54,online,63.09,West,type2,39.55,0
36,ncf,Female,no,type3,Home,bad,3,Business,275578,12.61,0.52,6971,180,yes,no,yes,266578,typeB,owner,unsecured,6,161842,existing,706,existing,23,online,24.17,West,type2,17.47,0
37,cf,Male,no,type3,Business,bad,5,Commercial,286430,13.58,1.61,17260,300,yes,yes,no,495372,typeB,tenant,secured,6,128212,existing,774,none,20,offline,31.28,West,type1,30.98,1
38,ncf,Male,no,type3,Car,bad,4,Commercial,471696,16.92,0.94,5154,300,yes,yes,yes,673407,typeA,tenant,secured,1,41754,new,476,existing,43,online,28.32,West,type1,11.97,1
39,ncf,Female,no,type3,Car,bad,1,Business,144975,12.19,1.44,9328,300,yes,yes,no,444562,typeB,tenant,unsecured,4,153252,none,796,new,60,online,52.08,South,type1,36.2,1
40,ncf,Female,yes,type1,Business,bad,5,Business,279919,11.45,0.58,10730,300,yes,no,no,547720,typeA,tenant,secured,1,169454,none,815,new,66,online,55.11,South,type1,27.37,1
41,ncf,Male,no,type2,Car,bad,3,Business,212691,10.58,0.51,19766,180,yes,yes,yes,305610,typeA,owner,secured,5,82555,new,605,new,54,online,24.77,West,type1,26.34,1
42,cf,Male,yes,type2,Business,bad,11,Business,195605,17.78,0.42,8129,300,yes,no,no,399747,typeB,tenant,secured,5,44696,none,769,new,34,online,44.1,West,type1,14.93,1
43,cf,Male,yes,type3,Home,bad,3,Business,433432,12.21,0.66,1230,240,no,yes,no,422978,typeA,tenant,unsecured,2,185559,none,781,existing,47,offline,49.07,South,type2,11.88,1
44,ncf,Male,no,type3,Car,good,11,Business,271423,9.43,0.44,2621,300,no,yes,no,877538,typeA,tenant,unsecured,6,134594,new,601,new,20,online,70.95,West,type2,21.02,1
45,cf,Female,yes,type1,Car,good,12,Commercial,255247,19.12,0.79,9245,300,no,yes,yes,810164,typeA,owner,secured,6,193871,none,313,existing,48,online,68.85,West,type2,27.68,1
46,ncf,Female,no,type3,Home,bad,15,Business,389424,8.19,0.25,16597,180,yes,yes,yes,495856,typeA,tenant,secured,1,167464,none,818,new,55,online,63.11,South,type2,28.67,0
47,ncf,Male,yes,type1,Business,good,12,Commercial,191217,18.91,0.19,6526,240,yes,no,yes,321573,typeA,owner,secured,5,133260,existing,446,none,31,online,46.13,West,type2,13.16,1
48,cf,Male,yes,type3,Business,bad,6,Commercial,386309,13.72,1.86,14900,240,no,yes,yes,355973,typeA,tenant,secured,2,152848,existing,516,new,43,offline,62.21,West,type2,26.41,0
49,cf,Male,yes,type1,Home,bad,3,Business,361537,16.92,0.25,18097,240,yes,yes,yes,398722,typeA,owner,unsecured,4,89442,none,752,new,21,online,51.3,South,type1,15.47,1
50,ncf,Female,yes,type3,Business,good,10,Commercial,201797,12.64,1.5,19885,240,yes,no,no,507547,typeA,tenant,secured,4,45095,existing,567,none,52,offline,55.6,West,type2,20.27,1
51,ncf,Male,yes,type3,Business,bad,14,Commercial,143963,17.22,1.11,16271,300,yes,no,yes,361901,typeA,owner,unsecured,6,47464,new,518,existing,63,offline,76.78,South,type1,36.9,0
52,ncf,Female,no,type3,Car,good,3,Commercial,230433,12.83,0.65,8663,300,no,no,no,672716,typeA,tenant,secured,1,49566,new,650,none,48,online,50.37,West,type2,10.94,1
53,cf,Male,yes,type1,Car,good,7,Commercial,190114,8.35,1.18,8893,240,yes,no,yes,330846,typeB,owner,unsecured,6,113310,existing,349,none,22,offline,79.69,West,type1,22.06,1
54,cf,Female,no,type2,Business,good,11,Business,491155,12.96,1.3,8166,300,no,yes,yes,616264,typeA,owner,unsecured,5,60525,none,561,existing,30,offline,23.21,South,type2,35.35,1
