iter	Passed	Remaining
0	157	157605
1	168	84285
2	179	59741
3	191	47785
4	204	40641
5	216	35826
6	228	32424
7	241	29906
8	253	27925
9	266	26377
10	278	25060
11	291	23981
12	303	23045
13	316	22262
14	328	21593
15	341	20972
16	352	20409
17	365	19957
18	378	19551
19	391	19176
20	404	18869
21	417	18564
22	430	18307
23	443	18051
24	455	17758
25	467	17499
26	479	17278
27	490	17041
28	504	16895
29	519	16791
30	533	16675
31	546	16540
32	560	16429
33	576	16369
34	588	16228
35	600	16092
36	613	15967
37	624	15808
38	634	15645
39	645	15482
40	657	15378
41	667	15225
42	681	15163
43	692	15041
44	706	14995
45	719	14925
46	732	14858
47	747	14824
48	762	14791
49	772	14685
50	783	14578
51	796	14528
52	807	14423
53	817	14327
54	828	14243
55	839	14146
56	849	14059
57	860	13982
58	872	13915
59	884	13859
60	898	13830
61	910	13774
62	923	13729
63	939	13739
64	952	13702
65	966	13675
66	978	13625
67	990	13579
68	1003	13537
69	1016	13501
70	1031	13491
71	1042	13435
72	1054	13385
73	1065	13331
74	1076	13277
75	1087	13225
76	1101	13199
77	1112	13146
78	1122	13085
79	1133	13038
80	1145	12993
81	1157	12952
82	1167	12898
83	1178	12856
84	1189	12807
85	1201	12766
86	1212	12720
87	1223	12678
88	1234	12632
89	1243	12577
90	1254	12531
91	1265	12487
92	1275	12440
93	1286	12394
94	1296	12350
95	1308	12319
96	1319	12286
97	1330	12248
98	1342	12215
99	1352	12170
100	1362	12130
101	1373	12089
102	1384	12057
103	1395	12020
104	1406	11991
105	1419	11970
106	1431	11945
107	1442	11910
108	1453	11878
109	1463	11843
110	1476	11824
111	1487	11794
112	1498	11759
113	1509	11728
114	1519	11695
115	1530	11664
116	1542	11637
117	1552	11607
118	1563	11572
119	1576	11562
120	1589	11546
121	1602	11529
122	1614	11509
123	1627	11498
124	1641	11487
125	1651	11458
126	1662	11428
127	1672	11396
128	1683	11368
129	1694	11340
130	1704	11309
131	1716	11286
132	1727	11263
133	1738	11235
134	1750	11213
135	1761	11189
136	1773	11173
137	1786	11159
138	1798	11142
139	1811	11126
140	1823	11111
141	1836	11096
142	1847	11075
143	1860	11057
144	1872	11041
145	1883	11017
146	1894	10990
147	1904	10963
148	1916	10946
149	1927	10921
150	1937	10895
151	1948	10869
152	1959	10845
153	1971	10829
154	1984	10818
155	1997	10804
156	2009	10789
157	2022	10777
158	2034	10760
159	2046	10744
160	2059	10730
161	2071	10713
162	2083	10700
163	2097	10690
164	2111	10683
165	2123	10668
166	2134	10644
167	2144	10620
168	2155	10597
169	2165	10573
170	2176	10549
171	2186	10526
172	2197	10505
173	2208	10482
174	2218	10458
175	2229	10436
176	2239	10413
177	2250	10390
178	2260	10366
179	2270	10344
180	2281	10322
181	2291	10300
182	2302	10278
183	2312	10256
184	2323	10234
185	2333	10211
186	2343	10189
187	2354	10167
188	2364	10146
189	2375	10128
190	2386	10107
191	2397	10088
192	2408	10068
193	2419	10051
194	2430	10032
195	2440	10011
196	2451	9990
197	2461	9971
198	2472	9951
199	2482	9930
200	2493	9910
201	2503	9890
202	2514	9871
203	2524	9852
204	2535	9831
205	2545	9811
206	2555	9791
207	2566	9771
208	2576	9751
209	2586	9731
210	2597	9712
211	2608	9694
212	2618	9676
213	2629	9656
214	2639	9637
215	2650	9622
216	2663	9609
217	2675	9595
218	2687	9584
219	2700	9573
220	2712	9562
221	2724	9547
222	2734	9528
223	2744	9509
224	2755	9490
225	2766	9475
226	2777	9456
227	2787	9438
228	2798	9420
229	2808	9403
230	2819	9385
231	2829	9366
232	2842	9357
233	2856	9349
234	2868	9338
235	2881	9326
236	2894	9317
237	2910	9317
238	2920	9300
239	2931	9283
240	2941	9265
241	2952	9246
242	2962	9230
243	2973	9212
244	2984	9195
245	2995	9181
